"module name","license","repository"
"@types/react-transition-group@4.4.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.3.23","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/semver@7.7.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"axios@1.11.0","MIT","https://github.com/axios/axios"
"babel-plugin-macros@3.1.0","MIT","https://github.com/kentcdodds/babel-plugin-macros"
"bmp-js@0.1.0","MIT","https://github.com/shaozilee/bmp-js"
"builder-util-runtime@8.9.2","MIT","https://github.com/electron-userland/electron-builder"
"call-bind-apply-helpers@1.0.2","MIT","https://github.com/ljharb/call-bind-apply-helpers"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"clsx@1.2.1","MIT","https://github.com/lukeed/clsx"
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"convert-source-map@1.9.0","MIT","https://github.com/thlorenz/convert-source-map"
"cookie@1.0.2","MIT","https://github.com/jshttp/cookie"
"cosmiconfig@7.1.0","MIT","https://github.com/davidtheclark/cosmiconfig"
"crypto-js@4.2.0","MIT","https://github.com/brix/crypto-js"
"csstype@3.1.3","MIT","https://github.com/frenic/csstype"
"debug@4.4.1","MIT","https://github.com/debug-js/debug"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"desktop_ai_zeta@0.1.0","UNLICENSED",""
"dom-helpers@5.2.1","MIT","https://github.com/react-bootstrap/dom-helpers"
"dunder-proto@1.0.1","MIT","https://github.com/es-shims/dunder-proto"
"electron-updater@4.6.5","MIT","https://github.com/electron-userland/electron-builder"
"encoding@0.1.13","MIT","https://github.com/andris9/encoding"
"error-ex@1.3.2","MIT","https://github.com/qix-/node-error-ex"
"es-define-property@1.0.1","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"es-object-atoms@1.1.1","MIT","https://github.com/ljharb/es-object-atoms"
"es-set-tostringtag@2.1.0","MIT","https://github.com/es-shims/es-set-tostringtag"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"find-root@1.1.0","MIT","https://github.com/js-n/find-root"
"follow-redirects@1.15.11","MIT","https://github.com/follow-redirects/follow-redirects"
"form-data@4.0.4","MIT","https://github.com/form-data/form-data"
"fs-extra@10.1.0","MIT","https://github.com/jprichardson/node-fs-extra"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"get-intrinsic@1.3.0","MIT","https://github.com/ljharb/get-intrinsic"
"get-proto@1.0.1","MIT","https://github.com/ljharb/get-proto"
"goober@2.1.16","MIT","https://github.com/cristianbote/goober"
"gopd@1.2.0","MIT","https://github.com/ljharb/gopd"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"has-symbols@1.1.0","MIT","https://github.com/inspect-js/has-symbols"
"has-tostringtag@1.0.2","MIT","https://github.com/inspect-js/has-tostringtag"
"hasown@2.0.2","MIT","https://github.com/inspect-js/hasOwn"
"hoist-non-react-statics@3.3.2","BSD-3-Clause","https://github.com/mridgway/hoist-non-react-statics"
"html-parse-stringify@3.0.1","MIT","https://github.com/henrikjoreteg/html-parse-stringify"
"i18next@23.16.8","MIT","https://github.com/i18next/i18next"
"iconv-lite@0.6.3","MIT","https://github.com/ashtuchkin/iconv-lite"
"idb-keyval@6.2.2","Apache-2.0","https://github.com/jakearchibald/idb-keyval"
"import-fresh@3.3.1","MIT","https://github.com/sindresorhus/import-fresh"
"is-arrayish@0.2.1","MIT","https://github.com/qix-/node-is-arrayish"
"is-core-module@2.16.1","MIT","https://github.com/inspect-js/is-core-module"
"is-electron@2.2.2","MIT","https://github.com/cheton/is-electron"
"is-url@1.2.4","MIT","https://github.com/segmentio/is-url"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"js-yaml@4.1.0","MIT","https://github.com/nodeca/js-yaml"
"jsesc@3.1.0","MIT","https://github.com/mathiasbynens/jsesc"
"json-parse-even-better-errors@2.3.1","MIT","https://github.com/npm/json-parse-even-better-errors"
"jsonfile@6.2.0","MIT","https://github.com/jprichardson/node-jsonfile"
"lazy-val@1.0.5","MIT","https://github.com/develar/lazy-val"
"lines-and-columns@1.2.4","MIT","https://github.com/eventualbuddha/lines-and-columns"
"lodash.escaperegexp@4.1.2","MIT","https://github.com/lodash/lodash"
"lodash.isequal@4.5.0","MIT","https://github.com/lodash/lodash"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"math-intrinsics@1.1.0","MIT","https://github.com/es-shims/math-intrinsics"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"node-fetch@2.7.0","MIT","https://github.com/bitinn/node-fetch"
"notistack@3.0.2","MIT","https://github.com/iamhosseindhv/notistack"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"opencollective-postinstall@2.0.3","MIT","https://github.com/opencollective/opencollective-postinstall"
"parent-module@1.0.1","MIT","https://github.com/sindresorhus/parent-module"
"parse-json@5.2.0","MIT","https://github.com/sindresorhus/parse-json"
"path-parse@1.0.7","MIT","https://github.com/jbgutierrez/path-parse"
"path-type@4.0.0","MIT","https://github.com/sindresorhus/path-type"
"picocolors@1.1.1","ISC","https://github.com/alexeyraspopov/picocolors"
"prop-types@15.8.1","MIT","https://github.com/facebook/prop-types"
"proxy-from-env@1.1.0","MIT","https://github.com/Rob--W/proxy-from-env"
"react-dom@18.3.1","MIT","https://github.com/facebook/react"
"react-i18next@15.6.1","MIT","https://github.com/i18next/react-i18next"
"react-is@16.13.1","MIT","https://github.com/facebook/react"
"react-is@19.1.1","MIT","https://github.com/facebook/react"
"react-router-dom@7.8.1","MIT","https://github.com/remix-run/react-router"
"react-router@7.8.1","MIT","https://github.com/remix-run/react-router"
"react-transition-group@4.4.5","BSD-3-Clause","https://github.com/reactjs/react-transition-group"
"react@18.3.1","MIT","https://github.com/facebook/react"
"regenerator-runtime@0.13.11","MIT","https://github.com/facebook/regenerator.git#main"
"resolve-from@4.0.0","MIT","https://github.com/sindresorhus/resolve-from"
"resolve@1.22.10","MIT","https://github.com/browserify/resolve"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"sax@1.4.1","ISC","https://github.com/isaacs/sax-js"
"scheduler@0.23.2","MIT","https://github.com/facebook/react"
"semver@7.7.2","ISC","https://github.com/npm/node-semver"
"set-cookie-parser@2.7.1","MIT","https://github.com/nfriedly/set-cookie-parser"
"source-map@0.5.7","BSD-3-Clause","https://github.com/mozilla/source-map"
"stylis@4.2.0","MIT","https://github.com/thysultan/stylis.js"
"supports-preserve-symlinks-flag@1.0.0","MIT","https://github.com/inspect-js/node-supports-preserve-symlinks-flag"
"tesseract.js-core@5.1.1","Apache-2.0","https://github.com/naptha/tesseract.js-core"
"tesseract.js@5.1.1","Apache-2.0","https://github.com/naptha/tesseract.js"
"tr46@0.0.3","MIT","https://github.com/Sebmaster/tr46.js"
"typescript@5.9.2","Apache-2.0","https://github.com/microsoft/TypeScript"
"universalify@2.0.1","MIT","https://github.com/RyanZim/universalify"
"use-sync-external-store@1.5.0","MIT","https://github.com/facebook/react"
"void-elements@3.1.0","MIT","https://github.com/pugjs/void-elements"
"wasm-feature-detect@1.8.0","Apache-2.0","https://github.com/GoogleChromeLabs/wasm-feature-detect"
"webidl-conversions@3.0.1","BSD-2-Clause","https://github.com/jsdom/webidl-conversions"
"whatwg-url@5.0.0","MIT","https://github.com/jsdom/whatwg-url"
"yaml@1.10.2","ISC","https://github.com/eemeli/yaml"
"zlibjs@0.3.1","MIT","https://github.com/imaya/zlib.js"
"zustand@4.5.7","MIT","https://github.com/pmndrs/zustand"
